"",BBEX3.D.CAD.XDR.DA.AC.000,BBEX3.D.CAD.XDR.DA.AC.000_FLAGS,BBEX3.D.CHF.XDR.DA.AC.000,BBEX3.D.CHF.XDR.DA.AC.000_FLAGS,BBEX3.D.CNY.XDR.DA.AC.000,BBEX3.D.CNY.XDR.DA.AC.000_FLAGS,BBEX3.D.DKK.XDR.DA.AC.000,BBEX3.D.DKK.XDR.DA.AC.000_FLAGS,BBEX3.D.EUR.XDR.DA.AC.000,BBEX3.D.EUR.XDR.DA.AC.000_FLAGS,BBEX3.D.GBP.XDR.DA.AC.000,BBEX3.D.GBP.XDR.DA.AC.000_FLAGS,BBEX3.D.JPY.XDR.DA.AC.000,BBEX3.D.JPY.XDR.DA.AC.000_FLAGS,BBEX3.D.NOK.XDR.DA.AC.000,BBEX3.D.NOK.XDR.DA.AC.000_FLAGS,BBEX3.D.SEK.XDR.DA.AC.000,BBEX3.D.SEK.XDR.DA.AC.000_FLAGS,BBEX3.D.USD.XDR.DA.AC.000,BBEX3.D.USD.XDR.DA.AC.000_FLAGS
2016-01-16,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-17,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-18,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-19,2.00399,,1.38943,,9.08447,,9.48119,,1.27045,,0.965409,,162.346,,12.22290,,11.82290,,1.380730,
2016-01-20,2.01687,,1.38619,,9.09562,,9.46029,,1.26749,,0.976515,,161.747,,12.25040,,11.79530,,1.382460,
2016-01-21,1.96783,,1.38921,,9.09017,,9.46575,,1.26835,,0.978550,,161.994,,12.30710,,11.85090,,1.381610,
2016-01-22,1.95171,,1.39603,,9.07457,,9.52227,,1.27609,,0.965018,,162.470,,12.08270,,11.83030,,1.379200,
2016-01-23,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-24,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-25,1.96362,,1.39777,,9.06470,,9.50670,,1.27396,,0.967886,,163.406,,12.04970,,11.80940,,1.377790,
2016-01-26,1.93783,,1.40038,,9.06725,,9.48920,,1.27162,,0.968082,,162.804,,12.06240,,11.80760,,1.378060,
2016-01-27,1.93951,,1.40267,,9.08711,,9.46611,,1.26848,,0.965279,,163.346,,11.98820,,11.78840,,1.381120,
2016-01-28,1.94546,,1.40162,,9.09041,,9.46190,,1.26791,,0.966249,,163.815,,11.97730,,11.76870,,1.382410,
2016-01-29,1.94374,,1.40783,,9.07853,,9.43450,,1.26419,,0.965111,,167.040,,11.99020,,11.75710,,1.380500,
2016-01-30,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-01-31,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-01,1.92978,,1.40745,,9.06396,,9.44688,,1.26592,,0.965400,,167.130,,11.91980,,11.80120,,1.377820,
2016-02-02,1.94072,,1.41311,,9.09471,,9.44751,,1.26594,,0.958323,,166.703,,12.05470,,11.79380,,1.382280,
2016-02-03,1.91662,,1.40694,,9.10705,,9.44813,,1.26611,,0.954709,,165.555,,12.04550,,11.85500,,1.384240,
2016-02-04,1.91806,,1.39879,,9.19202,,9.30622,,1.24700,,0.957313,,164.962,,11.89330,,11.78350,,1.397390,
2016-02-05,1.94039,,1.38663,,9.18679,,9.31619,,1.24833,,0.962473,,163.359,,11.94220,,11.74150,,1.398380,
2016-02-06,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-08,1.94097,,1.38856,,.,No value available,9.37356,,1.25599,,0.966968,,163.451,,12.04300,,11.77950,,1.394270,
2016-02-09,1.93428,,1.37205,,.,No value available,9.29705,,1.24566,,0.970412,,161.377,,12.04620,,11.84900,,1.399630,
2016-02-10,1.95929,,1.36595,,.,No value available,9.30051,,1.24607,,0.966184,,160.960,,11.98650,,11.80700,,1.402700,
2016-02-11,1.96187,,1.36627,,.,No value available,9.26398,,1.24119,,0.976610,,.,No value available,12.05010,,11.84950,,1.408380,
2016-02-12,1.94496,,1.37026,,.,No value available,9.30665,,1.24685,,0.967268,,157.944,,12.06620,,11.80160,,1.405820,
2016-02-13,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-16,1.93777,,1.38034,,9.10415,,9.34614,,1.25210,,0.969490,,160.264,,12.02630,,11.84500,,1.398100,
2016-02-17,1.91076,,1.38280,,9.11170,,9.35970,,1.25390,,0.975714,,158.904,,12.03180,,11.83060,,1.396350,
2016-02-18,1.91438,,1.38755,,9.09480,,9.39488,,1.25877,,0.970930,,159.028,,11.98790,,11.83990,,1.395220,
2016-02-19,1.92588,,1.38668,,9.09860,,9.38509,,1.25763,,0.976667,,157.548,,11.99250,,11.30270,,1.395470,
2016-02-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-22,1.90254,,1.38593,,9.06339,,9.40858,,1.26088,,0.984446,,156.986,,11.96940,,11.76460,,1.390240,
2016-02-23,1.91649,,1.38248,,9.07112,,9.42436,,1.26302,,0.984814,,155.910,,11.94680,,11.78440,,1.389570,
2016-02-24,1.90788,,1.37803,,9.05362,,9.41815,,1.26212,,0.998293,,155.183,,12.09840,,11.77630,,1.385930,
2016-02-25,1.88590,,1.37688,,9.07721,,9.40079,,1.25986,,0.995808,,155.763,,12.02070,,11.78990,,1.389250,
2016-02-26,1.88100,,1.37656,,9.07647,,9.41141,,1.26159,,0.994491,,156.692,,12.01600,,11.79780,,1.388500,
2016-02-27,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-02-29,1.86795,,1.38394,,9.04429,,9.46450,,1.26866,,0.997049,,156.641,,12.05780,,11.79310,,1.381310,
2016-03-01,1.85302,,1.38074,,9.04355,,9.48245,,1.27127,,0.989208,,155.351,,11.95880,,11.87730,,1.382120,
2016-03-02,1.85897,,1.37891,,9.04355,,9.48245,,1.27145,,0.985853,,157.353,,11.97970,,11.88540,,1.380290,
2016-03-03,1.85341,,1.37827,,9.04625,,9.45600,,1.26816,,0.983574,,157.734,,11.95170,,11.90540,,1.382420,
2016-03-04,1.85120,,1.37775,,9.05543,,9.44020,,1.26529,,0.981142,,157.734,,11.87210,,11.85440,,1.388020,
2016-03-05,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-06,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-07,1.84467,,1.38659,,9.03530,,9.44653,,1.26620,,0.979845,,157.687,,11.84950,,11.80700,,1.386870,
2016-03-08,1.86224,,1.38225,,9.04666,,9.41052,,1.26122,,0.978177,,157.030,,11.89140,,11.78840,,1.390870,
2016-03-09,1.83923,,1.39165,,9.05256,,9.44876,,1.26635,,0.977259,,156.354,,11.89910,,11.78930,,1.389560,
2016-03-10,1.85675,,1.38607,,9.04674,,9.53834,,1.27884,,0.977288,,157.309,,11.88370,,11.75070,,1.388430,
2016-03-11,1.84326,,1.37642,,9.05937,,9.38245,,1.25773,,0.975400,,158.006,,11.86800,,11.68280,,1.394830,
2016-03-12,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-13,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-14,1.85504,,1.37820,,9.06380,,9.36084,,1.25506,,0.972810,,158.906,,11.81510,,11.66680,,1.395500,
2016-03-15,1.86190,,1.37576,,9.07219,,9.35646,,1.25461,,0.984281,,158.706,,11.89360,,11.63230,,1.393740,
2016-03-16,1.86024,,1.37576,,9.07886,,9.38245,,1.25830,,0.987576,,157.943,,11.95640,,11.61260,,1.392180,
2016-03-17,1.82788,,1.36373,,9.14478,,9.27911,,1.24463,,0.980152,,158.673,,11.79510,,11.50100,,1.407800,
2016-03-18,1.82545,,1.36086,,9.09761,,9.29308,,1.24669,,0.971893,,156.503,,11.73270,,11.54300,,1.406140,
2016-03-19,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-20,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-21,1.83637,,1.36186,,9.11369,,9.29325,,1.24668,,0.976257,,.,No value available,11.77220,,11.57470,,1.405130,
2016-03-22,1.82918,,1.36008,,9.09364,,9.31801,,1.25006,,0.980594,,156.905,,11.80930,,11.58830,,1.401560,
2016-03-23,1.84598,,1.36152,,9.08224,,9.32958,,1.25159,,0.986349,,157.138,,11.79530,,11.53960,,1.398150,
2016-03-24,1.85210,,1.36203,,9.08926,,.,No value available,1.25140,,0.988396,,157.489,,.,No value available,11.56890,,1.395810,
2016-03-25,.,No value available,1.36400,,9.09761,,.,No value available,.,No value available,.,No value available,157.760,,.,No value available,.,No value available,1.396110,
2016-03-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-27,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-03-28,1.84457,,1.36664,,9.11195,,.,No value available,.,No value available,.,No value available,158.798,,.,No value available,.,No value available,1.399100,
2016-03-29,1.83997,,1.36270,,9.10755,,9.31550,,1.24959,,0.980709,,158.917,,11.85100,,11.60160,,1.398790,
2016-03-30,1.82323,,1.35526,,9.10772,,9.25780,,1.24214,,0.976334,,158.383,,11.71330,,11.48470,,1.406600,
2016-03-31,1.82738,,1.35529,,9.11129,,9.22041,,1.23744,,0.978139,,158.675,,11.64980,,11.47790,,1.408820,
2016-04-01,1.83849,,1.35150,,9.10921,,9.18341,,1.23262,,0.986368,,158.105,,11.63600,,11.45060,,1.409130,
2016-04-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-04,1.83416,,1.35184,,.,No value available,9.20598,,1.23638,,0.988748,,156.880,,11.66640,,11.43660,,1.406990,
2016-04-05,1.85413,,1.34928,,9.11253,,9.21727,,1.23854,,0.991090,,156.060,,11.76550,,11.46730,,1.407840,
2016-04-06,1.83855,,1.34984,,9.10689,,9.22892,,1.24025,,0.999181,,155.216,,11.75260,,11.45410,,1.405940,
2016-04-07,1.85469,,1.34787,,9.11718,,9.22696,,1.23990,,1.000940,,153.963,,11.72280,,11.46690,,1.409020,
2016-04-08,1.83013,,1.34919,,9.12317,,9.22348,,1.23940,,1.001020,,153.142,,11.67310,,11.49680,,1.408340,
2016-04-09,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-10,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-11,1.82288,,1.34998,,9.13492,,9.22416,,1.23939,,0.991690,,152.601,,11.62660,,11.48730,,1.411670,
2016-04-12,1.80885,,1.34685,,9.13643,,9.23097,,1.24015,,0.987128,,152.747,,11.59720,,11.42510,,1.413280,
2016-04-13,1.79988,,1.35455,,9.09877,,9.26930,,1.24538,,0.987528,,152.874,,11.59610,,11.38690,,1.407040,
2016-04-14,1.80220,,1.35558,,9.10772,,9.28548,,1.24779,,0.992940,,153.599,,11.55960,,11.48430,,1.404020,
2016-04-15,1.80730,,1.36047,,9.11353,,9.26930,,1.24564,,0.990688,,154.235,,11.59000,,11.45740,,1.405590,
2016-04-16,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-17,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-18,1.80365,,1.35890,,9.11876,,9.26398,,1.24487,,0.991581,,152.033,,11.61780,,11.44100,,1.407450,
2016-04-19,1.78399,,1.35857,,9.12334,,9.24855,,1.24271,,0.980931,,153.745,,11.50480,,11.41780,,1.409600,
2016-04-20,1.78195,,1.35633,,9.12667,,9.23080,,1.24020,,0.981653,,154.092,,11.45150,,11.40640,,1.411230,
2016-04-21,1.78998,,1.36819,,9.12076,,9.22892,,1.24027,,0.979633,,154.493,,11.41230,,11.40830,,1.408320,
2016-04-22,1.78149,,1.37302,,9.12617,,.,No value available,1.24800,,0.977689,,153.776,,11.53700,,11.45190,,1.405630,
2016-04-23,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-24,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-04-25,1.78212,,1.37060,,9.13734,,9.28540,,1.24774,,0.972365,,156.484,,11.57100,,11.44200,,1.405460,
2016-04-26,1.77617,,1.37303,,9.14202,,9.28384,,1.24753,,0.966763,,156.256,,11.51200,,11.46020,,1.408090,
2016-04-27,1.78064,,1.37068,,9.14746,,9.27988,,1.24683,,0.964739,,156.685,,11.47250,,11.42290,,1.409290,
2016-04-28,1.77304,,1.36696,,9.16221,,9.26286,,1.24446,,0.971317,,157.940,,11.50630,,11.38050,,1.413460,
2016-04-29,1.77861,,1.36390,,9.19084,,9.25249,,1.24294,,0.969847,,158.372,,11.45370,,11.39430,,1.417330,
2016-04-30,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-01,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-02,1.78604,,1.36444,,.,No value available,9.21583,,1.23846,,.,No value available,151.446,,11.43470,,11.41500,,1.423360,
2016-05-03,1.81032,,1.35210,,9.23668,,9.18012,,1.23348,,0.972611,,.,No value available,11.48250,,11.30230,,1.427020,
2016-05-04,1.82943,,1.35816,,9.22339,,9.18282,,1.23418,,0.980613,,.,No value available,11.52850,,11.42630,,1.419920,
2016-05-05,1.82079,,1.36605,,9.21413,,.,No value available,1.23842,,0.979614,,.,No value available,.,No value available,.,No value available,1.416630,
2016-05-06,1.83141,,1.37302,,9.21897,,.,No value available,1.24039,,0.977173,,152.171,,11.59920,,11.49120,,1.417390,
2016-05-07,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-08,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-09,1.83755,,1.37102,,9.20285,,9.23242,,1.24103,,0.979058,,152.092,,11.58250,,11.51570,,1.414150,
2016-05-10,1.82927,,1.37474,,9.19997,,9.23216,,1.24095,,0.978703,,153.087,,11.60540,,11.49440,,1.411590,
2016-05-11,1.81420,,1.37690,,9.20615,,9.21803,,1.23882,,0.979873,,153.817,,11.57990,,11.50850,,1.413370,
2016-05-12,1.81679,,1.37156,,9.19836,,9.23114,,1.24064,,0.978234,,153.137,,11.45360,,11.52200,,1.412960,
2016-05-13,1.82579,,1.37203,,9.19836,,9.25035,,1.24336,,0.979020,,153.513,,11.52320,,11.60100,,1.410970,
2016-05-14,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-15,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-16,1.81641,,1.37637,,9.19481,,.,No value available,1.24470,,0.982154,,153.353,,.,No value available,11.60370,,1.409490,
2016-05-17,1.81683,,1.37986,,9.19354,,9.26733,,1.24583,,0.974118,,153.722,,.,No value available,11.61360,,1.410030,
2016-05-18,1.82047,,1.38507,,9.19895,,9.28531,,1.24848,,0.972356,,154.250,,11.58400,,11.67180,,1.408160,
2016-05-19,1.84465,,1.39151,,9.19955,,9.34082,,1.25607,,0.960929,,154.804,,11.75600,,11.74480,,1.406420,
2016-05-20,1.84670,,1.39346,,9.20014,,9.31914,,1.25308,,0.964283,,154.641,,11.69820,,11.71490,,1.405830,
2016-05-21,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-22,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-23,.,No value available,1.39171,,9.20437,,9.31845,,1.25297,,0.971185,,154.291,,11.73500,,11.68460,,1.405200,
2016-05-24,1.84370,,1.39367,,9.21201,,9.35874,,1.25848,,0.962519,,153.590,,11.74860,,11.74710,,1.405470,
2016-05-25,1.83774,,1.39214,,9.20861,,9.36742,,1.25958,,0.957524,,154.643,,11.70720,,11.67760,,1.403930,
2016-05-26,1.82512,,1.39334,,9.22348,,9.36242,,1.25895,,0.956782,,154.238,,11.64150,,11.67440,,1.406000,
2016-05-27,1.82800,,1.39247,,9.22407,,9.36128,,1.25880,,0.959343,,154.501,,11.68410,,11.65180,,1.405830,
2016-05-28,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-29,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-30,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-05-31,1.83777,,1.38913,,9.23753,,9.35454,,1.25774,,0.959693,,155.846,,11.72200,,11.69010,,1.402880,
2016-06-01,1.83640,,1.38877,,9.24360,,9.33838,,1.25541,,0.971062,,155.275,,11.68570,,11.68840,,1.402800,
2016-06-02,1.83768,,1.38655,,9.24163,,9.34082,,1.25577,,0.973568,,153.210,,11.72390,,11.63740,,1.404950,
2016-06-03,1.81561,,1.39073,,9.23395,,9.35095,,1.25716,,0.973227,,152.787,,11.67300,,11.66220,,1.402230,
2016-06-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-05,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-06,1.81540,,1.37680,,9.27076,,9.25438,,1.24425,,0.981171,,151.010,,11.56340,,.,No value available,1.412100,
2016-06-07,1.80931,,1.36664,,9.29766,,9.27076,,1.24669,,0.969800,,152.467,,11.49760,,11.48740,,1.414740,
2016-06-08,1.79744,,1.36291,,9.30284,,9.25386,,1.24439,,0.971836,,151.569,,11.45520,,11.48640,,1.415870,
2016-06-09,1.80012,,1.35924,,.,No value available,9.26964,,1.24655,,0.977441,,150.729,,11.52920,,11.47050,,1.413970,
2016-06-10,1.79755,,1.35987,,.,No value available,9.28384,,1.24858,,0.978770,,151.132,,11.57740,,11.56620,,1.411390,
2016-06-11,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-12,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-13,1.80113,,1.36014,,9.27068,,9.29135,,1.24957,,0.994500,,149.503,,11.65410,,11.67850,,1.408010,
2016-06-14,1.80476,,1.35804,,9.26664,,9.31463,,1.25267,,0.992743,,149.050,,11.73190,,11.65790,,1.406130,
2016-06-15,1.81598,,1.35545,,9.26595,,9.31081,,1.25219,,0.990638,,149.199,,11.69730,,11.68620,,1.406210,
2016-06-16,1.83513,,1.35865,,9.26501,,9.36391,,1.25935,,0.995966,,147.333,,11.81240,,11.72140,,1.407200,
2016-06-17,1.81668,,1.35792,,9.29428,,9.32123,,1.25349,,0.989531,,147.698,,11.82170,,11.75130,,1.410680,
2016-06-18,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-19,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-20,1.81512,,1.36074,,9.32758,,9.30008,,1.25070,,0.969218,,148.319,,11.70340,,11.67310,,1.417290,
2016-06-21,1.81820,,1.36017,,9.32871,,9.32253,,1.25373,,0.961612,,147.663,,11.74980,,11.67620,,1.418470,
2016-06-22,1.81564,,1.35720,,9.32349,,9.33681,,1.25521,,0.964823,,147.999,,11.74320,,11.71870,,1.416260,
2016-06-23,1.81312,,1.35871,,9.35953,,9.28790,,1.24843,,0.954763,,148.795,,11.60960,,11.69300,,1.421840,
2016-06-24,1.81078,,1.36591,,9.23566,,9.39602,,1.26339,,1.020260,,141.904,,11.90120,,.,No value available,1.398070,
2016-06-25,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-26,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-06-27,1.82001,,1.35937,,9.24129,,9.41052,,1.26537,,1.053480,,142.296,,11.90020,,11.83170,,1.391650,
2016-06-28,.,No value available,1.36413,,9.28221,,9.37392,,1.26017,,1.046010,,142.399,,11.81850,,11.87420,,1.395380,
2016-06-29,1.81337,,1.36865,,9.28548,,9.36154,,1.25867,,1.039990,,142.937,,11.71380,,11.85500,,1.395870,
2016-06-30,1.81976,,1.36527,,9.29463,,9.37348,,1.25999,,1.037100,,143.941,,11.71900,,11.86400,,1.398840,
2016-07-01,.,No value available,1.36009,,9.29446,,9.32470,,1.25367,,1.050540,,143.645,,11.65600,,11.82460,,1.395960,
2016-07-02,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-07-03,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-07-04,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available,.,No value available
2016-07-05,1.80877,,1.35689,,9.31515,,9.32392,,1.25322,,1.061430,,142.715,,11.67970,,11.76270,,1.396840,
